scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,observable,exit_prob,mean_event_time,mean_hit_time,event_time_ratio,early_mass,late_mass,no_exit_mass
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak2,1797,1849,tau_out,0.9999999879000719,184.49869103147645,1823.0000652733827,0.1012060803211263,0.999881294664873,0.00011869323519897446,1.2099928059505771e-08
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak2,1797,1849,tau_mem,0.25123085885813573,358.0559553068715,1823.0000652733827,0.19641028112260453,0.22381796171197704,0.027412897146158688,0.7487691411418642
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak1,276,328,tau_out,0.8668332230395729,259.0608220637433,302.0420115473535,0.8576979763066114,0.04397381948222445,0.8228594035573484,0.1331667769604271
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak1,276,328,tau_mem,0.009161961664292435,191.6554951010548,302.0420115473535,0.6345325741912808,0.0023165429706610025,0.0068454186936314325,0.9908380383357076
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,valley,1177,1229,tau_out,0.9999999771428436,110.27748011273825,1203.000076283796,0.09166872246043235,0.9991696368917946,0.0008303402510489999,2.2857156389832767e-08
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,valley,1177,1229,tau_mem,0.30238562329693475,174.94142008300173,1203.000076283796,0.14542095510369016,0.2873991230077416,0.014986500289193128,0.6976143767030653
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak2,2123,2175,tau_out,1.0000000000000888,175.1737478122826,2148.999964680874,0.08151407663624409,0.9999999908909684,9.109120457928555e-09,0.0
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak2,2123,2175,tau_mem,0.2941649450506995,379.7427642002666,2148.999964680874,0.17670673356975056,0.258572862617052,0.03559208243364753,0.7058350549493004
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,early,10,60,tau_out,0.05294479014705268,56.30976347806546,59.53865693799762,0.9457681172873169,2.1238957979891206e-06,0.05294266625125469,0.9470552098529473
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,early,10,60,tau_mem,4.99830815334905e-05,51.05955747097955,59.53865693799762,0.8575866520494737,2.1237924518264777e-06,4.7859289081664026e-05,0.9999500169184665
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,middle,120,200,tau_out,0.7578860800980618,165.13487298032538,179.71504064296312,0.9188706320268212,0.007347030558101773,0.75053904953996,0.2421139199019382
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,middle,120,200,tau_mem,0.004014930546151459,139.7434739705595,179.71504064296312,0.7775836316793626,0.00038265102839303913,0.00363227951775842,0.9959850694538486
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,late,260,360,tau_out,0.9234720561951378,239.9132755880497,304.7008234253453,0.7873732433375942,0.06060559658075238,0.8628664596143855,0.07652794380486216
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,late,260,360,tau_mem,0.019330661534474814,180.38256472458923,304.7008234253453,0.5919989407865344,0.005417673845808713,0.013912987688666101,0.9806693384655252
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,early,10,60,tau_out,0.05480390754744683,56.29879750672982,59.53547564479851,0.9456344624274204,2.2531258355859417e-06,0.054801654421611244,0.9451960924525532
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,early,10,60,tau_mem,5.719826814329967e-05,51.08980587124813,59.53547564479851,0.8581405509558861,2.253035071032994e-06,5.4945233072266677e-05,0.9999428017318567
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,120,200,tau_out,0.7875566906672964,160.10466585062534,176.04983264849622,0.9094281059061996,0.007126929371561999,0.7804297612957344,0.2124433093327036
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,120,200,tau_mem,0.005671817422738997,134.60919293031841,176.04983264849622,0.764608468552658,0.0005024426641328594,0.005169374758606137,0.994328182577261
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,260,360,tau_out,0.9680308944735019,210.1863548775054,302.98677148423695,0.6937146260474295,0.1037116006552121,0.8643192938182898,0.03196910552649812
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,260,360,tau_mem,0.042628226453001905,156.0828031688297,302.98677148423695,0.5151472534732429,0.01880742339687996,0.023820803056121945,0.9573717735469981
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,early,10,60,tau_out,0.0566831565710221,56.28849338472038,59.53155667750842,0.9455236268999951,2.39057086286043e-06,0.05668076600015924,0.9433168434289779
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,early,10,60,tau_mem,6.48912210731038e-05,51.09160160744727,59.53155667750842,0.8582272068613679,2.3904942649181195e-06,6.250072680818569e-05,0.9999351087789269
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,middle,120,200,tau_out,0.8139898114889815,153.33286204192783,170.8305014170342,0.8975730959637538,0.006613927977194154,0.8073758835117874,0.18601018851101847
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,middle,120,200,tau_mem,0.00828730056821229,126.61961348756775,170.8305014170342,0.7412002683201279,0.0007984846491013708,0.0074888159191109195,0.9917126994317877
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,late,260,360,tau_out,0.9924968726036306,177.67289471718416,304.15306468264714,0.5841561876174676,0.25478927725983735,0.7377075953437933,0.00750312739636938
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,late,260,360,tau_mem,0.09288995538411304,122.91000719541769,304.15306468264714,0.4041057660348148,0.06668275443648378,0.026207200947629267,0.907110044615887
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,early,10,60,tau_out,0.00440441450832188,55.417346818548786,59.57060584713972,0.9302800606183469,4.0822190511320454e-07,0.004404006286416766,0.9955955854916781
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,early,10,60,tau_mem,3.1092081358965676e-06,46.60158414650216,59.57060584713972,0.7822915930397532,4.0822190511320454e-07,2.700986230783363e-06,0.9999968907918642
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,middle,120,200,tau_out,0.3360005413924415,172.79212426790272,185.79421898204689,0.9300188413537208,0.004549280809247047,0.33145126058319446,0.6639994586075585
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,middle,120,200,tau_mem,0.00035044464311999784,133.72566616342937,185.79421898204689,0.7197514911718063,7.643261861010562e-05,0.00027401202450989224,0.99964955535688
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,late,260,360,tau_out,0.4883744575058156,287.59554359085706,322.8159504398261,0.8908963240478595,0.02911693864417065,0.45925751886164495,0.5116255424941845
