scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,hit_mass,flux_c2o,flux_o2c,occupancy_mass,L0R0,L0R1,L1R0,L1R1,rollback_share
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,middle,120,200,0.03906234589778449,0.00015691204280136685,3.421682967768067e-05,7.020091080629888,0.6545823302375314,0.34095686663509117,0.002952186991466576,0.0015086161359109667,0.34246548277100214
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,late,260,360,0.17218026998342664,0.0033358228207181493,0.0009467779967768316,52.463470041549144,0.47567945981365845,0.501616487657724,0.010986324821419691,0.01171772770719793,0.513334215364922
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,early,10,60,1.0806954283729051e-13,6.181404485853353e-18,4.531237790188813e-19,6.4339716355340304e-12,0.9904274500507674,0.009515249414673296,5.698117941829405e-05,3.193551409993564e-07,0.009515568769814294
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,120,200,0.12304017248353014,0.0006982403448624403,0.00011760651437142826,21.66120177476775,0.6658199708685081,0.32805190418384844,0.004166645470533753,0.0019614794771098103,0.3300133836609582
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,260,360,0.18982619023044725,0.008108058862064014,0.0012075834461240194,57.51482452107647,0.5115551484328953,0.44229060543974175,0.025865419872679,0.020288826254684013,0.4625794316944258
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,early,10,60,1.2134701241298825e-12,7.874374331197292e-17,5.374292185945075e-18,7.223976547110142e-11,0.9909606746362596,0.008974336828393124,6.464837585750303e-05,3.4015948965256275e-07,0.008974676987882776
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,middle,120,200,0.26532354925437185,0.0022000533715980037,0.00027221657500435954,45.325354956871806,0.6836514118578695,0.3076177342832906,0.0061596269042524625,0.002571226954587741,0.3101889612378783
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,late,260,360,0.17390305599678615,0.016178310761240253,0.0010800402796260146,52.89314743910113,0.5488798640929747,0.3553838379735069,0.060717312390029435,0.03501898554348903,0.39040282351699596
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,early,10,60,3.8050560848980006e-20,1.1830715420441446e-25,2.964240060911112e-26,2.2666949625972015e-18,0.9903069729870151,0.009689904676339215,3.0973631622211838e-06,2.4973483355247156e-08,0.00968992964982257
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,middle,120,200,1.044786924110582e-05,3.6618160167457124e-09,2.564376095094164e-09,0.0019411537056778273,0.6195686236839618,0.379918057187224,0.00030299367879335897,0.00021032545002095535,0.38012838263724497
