t,f_total,f_a,f_b
3797,7.740282493841035e-05,7.740282493841035e-05,0.0
3798,7.736676514651648e-05,7.736676514651648e-05,0.0
3799,7.733075634352075e-05,7.733075634352075e-05,0.0
3800,7.729479847942246e-05,7.729479847942246e-05,0.0
3801,7.725889150354271e-05,7.725889150354271e-05,0.0
3802,7.722303536452763e-05,7.722303536452763e-05,0.0
3803,7.718723001035185e-05,7.718723001035185e-05,0.0
3804,7.715147538832156e-05,7.715147538832156e-05,0.0
3805,7.711577144507802e-05,7.711577144507802e-05,0.0
3806,7.708011812660072e-05,7.708011812660072e-05,0.0
3807,7.704451537821072e-05,7.704451537821072e-05,0.0
3808,7.7008963144574e-05,7.7008963144574e-05,0.0
3809,7.697346136970466e-05,7.697346136970466e-05,0.0
3810,7.693800999696834e-05,7.693800999696834e-05,0.0
3811,7.690260896908552e-05,7.690260896908552e-05,0.0
3812,7.686725822813472e-05,7.686725822813472e-05,0.0
3813,7.683195771555603e-05,7.683195771555603e-05,0.0
3814,7.679670737215426e-05,7.679670737215426e-05,0.0
3815,7.67615071381023e-05,7.67615071381023e-05,0.0
3816,7.672635695294453e-05,7.672635695294453e-05,0.0
3817,7.669125675560007e-05,7.669125675560007e-05,0.0
3818,7.665620648436615e-05,7.665620648436615e-05,0.0
3819,7.662120607692146e-05,7.662120607692146e-05,0.0
3820,7.658625547032944e-05,7.658625547032944e-05,0.0
3821,7.655135460104168e-05,7.655135460104168e-05,0.0
3822,7.651650340490124e-05,7.651650340490124e-05,0.0
3823,7.648170181714601e-05,7.648170181714601e-05,0.0
3824,7.644694977241201e-05,7.644694977241201e-05,0.0
3825,7.641224720473681e-05,7.641224720473681e-05,0.0
3826,7.637759404756287e-05,7.637759404756287e-05,0.0
3827,7.634299023374084e-05,7.634299023374084e-05,0.0
3828,7.6308435695533e-05,7.6308435695533e-05,0.0
3829,7.627393036461653e-05,7.627393036461653e-05,0.0
3830,7.623947417208697e-05,7.623947417208697e-05,0.0
3831,7.620506704846149e-05,7.620506704846149e-05,0.0
3832,7.617070892368231e-05,7.617070892368231e-05,0.0
3833,7.613639972712006e-05,7.613639972712006e-05,0.0
3834,7.61021393875771e-05,7.61021393875771e-05,0.0
3835,7.606792783329101e-05,7.606792783329101e-05,0.0
3836,7.603376499193777e-05,7.603376499193777e-05,0.0
3837,7.599965079063529e-05,7.599965079063529e-05,0.0
3838,7.596558515594672e-05,7.596558515594672e-05,0.0
3839,7.593156801388385e-05,7.593156801388385e-05,0.0
3840,7.589759928991043e-05,7.589759928991043e-05,0.0
3841,7.586367890894554e-05,7.586367890894554e-05,0.0
3842,7.582980679536714e-05,7.582980679536714e-05,0.0
3843,7.579598287301516e-05,7.579598287301516e-05,0.0
3844,7.576220706519507e-05,7.576220706519507e-05,0.0
3845,7.572847929468125e-05,7.572847929468125e-05,0.0
3846,7.569479948372031e-05,7.569479948372031e-05,0.0
3847,7.566116755403444e-05,7.566116755403444e-05,0.0
3848,7.562758342682488e-05,7.562758342682488e-05,0.0
3849,7.55940470227752e-05,7.55940470227752e-05,0.0
3850,7.556055826205483e-05,7.556055826205483e-05,0.0
3851,7.552711706432224e-05,7.552711706432224e-05,0.0
3852,7.549372334872844e-05,7.549372334872844e-05,0.0
3853,7.546037703392033e-05,7.546037703392033e-05,0.0
3854,7.54270780380441e-05,7.54270780380441e-05,0.0
3855,7.53938262787486e-05,7.53938262787486e-05,0.0
3856,7.536062167318866e-05,7.536062167318866e-05,0.0
3857,7.532746413802853e-05,7.532746413802853e-05,0.0
3858,7.529435358944525e-05,7.529435358944525e-05,0.0
3859,7.5261289943132e-05,7.5261289943132e-05,0.0
3860,7.522827311430151e-05,7.522827311430151e-05,0.0
3861,7.51953030176894e-05,7.51953030176894e-05,0.0
3862,7.516237956755758e-05,7.516237956755758e-05,0.0
3863,7.512950267769757e-05,7.512950267769757e-05,0.0
3864,7.5096672261434e-05,7.5096672261434e-05,0.0
3865,7.506388823162779e-05,7.506388823162779e-05,0.0
3866,7.503115050067969e-05,7.503115050067969e-05,0.0
3867,7.49984589805336e-05,7.49984589805336e-05,0.0
3868,7.496581358267983e-05,7.496581358267983e-05,0.0
3869,7.493321421815868e-05,7.493321421815868e-05,0.0
3870,7.490066079756359e-05,7.490066079756359e-05,0.0
3871,7.486815323104466e-05,7.486815323104466e-05,0.0
3872,7.483569142831186e-05,7.483569142831186e-05,0.0
3873,7.48032752986386e-05,7.48032752986386e-05,0.0
3874,7.477090475086489e-05,7.477090475086489e-05,0.0
3875,7.473857969340079e-05,7.473857969340079e-05,0.0
3876,7.470630003422976e-05,7.470630003422976e-05,0.0
3877,7.467406568091203e-05,7.467406568091203e-05,0.0
3878,7.464187654058788e-05,7.464187654058788e-05,0.0
3879,7.460973251998109e-05,7.460973251998109e-05,0.0
3880,7.457763352540217e-05,7.457763352540217e-05,0.0
3881,7.454557946275187e-05,7.454557946275187e-05,0.0
3882,7.451357023752434e-05,7.451357023752434e-05,0.0
3883,7.448160575481062e-05,7.448160575481062e-05,0.0
3884,7.444968591930191e-05,7.444968591930191e-05,0.0
3885,7.441781063529284e-05,7.441781063529284e-05,0.0
3886,7.4385979806685e-05,7.4385979806685e-05,0.0
3887,7.435419333699008e-05,7.435419333699008e-05,0.0
3888,7.432245112933328e-05,7.432245112933328e-05,0.0
3889,7.429075308645667e-05,7.429075308645667e-05,0.0
3890,7.42590991107224e-05,7.42590991107224e-05,0.0
3891,7.422748910411618e-05,7.422748910411618e-05,0.0
3892,7.419592296825047e-05,7.419592296825047e-05,0.0
3893,7.416440060436784e-05,7.416440060436784e-05,0.0
3894,7.413292191334432e-05,7.413292191334432e-05,0.0
3895,7.41014867956926e-05,7.41014867956926e-05,0.0
3896,7.40700951515655e-05,7.40700951515655e-05,0.0
3897,7.403874688075916e-05,7.403874688075916e-05,0.0
3898,7.40074418827163e-05,7.40074418827163e-05,0.0
3899,7.397618005652967e-05,7.397618005652967e-05,0.0
3900,7.394496130094527e-05,7.394496130094527e-05,0.0
3901,7.391378551436552e-05,7.391378551436552e-05,0.0
3902,7.388265259485277e-05,7.388265259485277e-05,0.0
3903,7.38515624401324e-05,7.38515624401324e-05,0.0
3904,7.382051494759621e-05,7.382051494759621e-05,0.0
3905,7.378951001430566e-05,7.378951001430566e-05,0.0
3906,7.375854753699511e-05,7.375854753699511e-05,0.0
3907,7.372762741207515e-05,7.372762741207515e-05,0.0
3908,7.369674953563581e-05,7.369674953563581e-05,0.0
3909,7.366591380344988e-05,7.366591380344988e-05,0.0
3910,7.363512011097612e-05,7.363512011097612e-05,0.0
3911,7.360436835336255e-05,7.360436835336255e-05,0.0
3912,7.357365842544964e-05,7.357365842544964e-05,0.0
3913,7.354299022177363e-05,7.354299022177363e-05,0.0
3914,7.351236363656973e-05,7.351236363656973e-05,0.0
3915,7.348177856377538e-05,7.348177856377538e-05,0.0
3916,7.345123489703342e-05,7.345123489703342e-05,0.0
3917,7.342073252969542e-05,7.342073252969542e-05,0.0
3918,7.339027135482484e-05,7.339027135482484e-05,0.0
3919,7.335985126520026e-05,7.335985126520026e-05,0.0
3920,7.332947215331859e-05,7.332947215331859e-05,0.0
3921,7.329913391139828e-05,7.329913391139828e-05,0.0
3922,7.326883643138255e-05,7.326883643138255e-05,0.0
3923,7.32385796049426e-05,7.32385796049426e-05,0.0
3924,7.320836332348077e-05,7.320836332348077e-05,0.0
3925,7.317818747813368e-05,7.317818747813368e-05,0.0
3926,7.314805195977562e-05,7.314805195977562e-05,0.0
3927,7.311795665902149e-05,7.311795665902149e-05,0.0
3928,7.308790146623011e-05,7.308790146623011e-05,0.0
3929,7.30578862715074e-05,7.30578862715074e-05,0.0
3930,7.302791096470947e-05,7.302791096470947e-05,0.0
3931,7.299797543544588e-05,7.299797543544588e-05,0.0
3932,7.296807957308268e-05,7.296807957308268e-05,0.0
3933,7.293822326674571e-05,7.293822326674571e-05,0.0
3934,7.290840640532359e-05,7.290840640532359e-05,0.0
3935,7.287862887747099e-05,7.287862887747099e-05,0.0
3936,7.284889057161169e-05,7.284889057161169e-05,0.0
3937,7.281919137594175e-05,7.281919137594175e-05,0.0
3938,7.278953117843262e-05,7.278953117843262e-05,0.0
3939,7.27599098668342e-05,7.27599098668342e-05,0.0
3940,7.273032732867814e-05,7.273032732867814e-05,0.0
3941,7.270078345128069e-05,7.270078345128069e-05,0.0
3942,7.267127812174605e-05,7.267127812174605e-05,0.0
3943,7.26418112269693e-05,7.26418112269693e-05,0.0
3944,7.261238265363954e-05,7.261238265363954e-05,0.0
3945,7.258299228824302e-05,7.258299228824302e-05,0.0
3946,7.255364001706614e-05,7.255364001706614e-05,0.0
3947,7.252432572619862e-05,7.252432572619862e-05,0.0
3948,7.249504930153646e-05,7.249504930153646e-05,0.0
3949,7.246581062878512e-05,7.246581062878512e-05,0.0
3950,7.243660959346243e-05,7.243660959346243e-05,0.0
3951,7.240744608090184e-05,7.240744608090184e-05,0.0
3952,7.237831997625527e-05,7.237831997625527e-05,0.0
3953,7.234923116449624e-05,7.234923116449624e-05,0.0
3954,7.232017953042292e-05,7.232017953042292e-05,0.0
3955,7.229116495866106e-05,7.229116495866106e-05,0.0
3956,7.226218733366714e-05,7.226218733366714e-05,0.0
3957,7.223324653973134e-05,7.223324653973134e-05,0.0
3958,7.22043424609804e-05,7.22043424609804e-05,0.0
3959,7.217547498138089e-05,7.217547498138089e-05,0.0
3960,7.214664398474195e-05,7.214664398474195e-05,0.0
3961,7.211784935471841e-05,7.211784935471841e-05,0.0
3962,7.208909097481379e-05,7.208909097481379e-05,0.0
3963,7.20603687283832e-05,7.20603687283832e-05,0.0
3964,7.203168249863632e-05,7.203168249863632e-05,0.0
3965,7.200303216864035e-05,7.200303216864035e-05,0.0
3966,7.197441762132307e-05,7.197441762132307e-05,0.0
3967,7.194583873947565e-05,7.194583873947565e-05,0.0
3968,7.191729540575564e-05,7.191729540575564e-05,0.0
3969,7.188878750268993e-05,7.188878750268993e-05,0.0
3970,7.186031491267763e-05,7.186031491267763e-05,0.0
3971,7.183187751799304e-05,7.183187751799304e-05,0.0
3972,7.180347520078854e-05,7.180347520078854e-05,0.0
3973,7.177510784309744e-05,7.177510784309744e-05,0.0
3974,7.174677532683698e-05,7.174677532683698e-05,0.0
3975,7.171847753381115e-05,7.171847753381115e-05,0.0
3976,7.16902143457136e-05,7.16902143457136e-05,0.0
3977,7.166198564413047e-05,7.166198564413047e-05,0.0
3978,7.163379131054336e-05,7.163379131054336e-05,0.0
3979,7.160563122633207e-05,7.160563122633207e-05,0.0
3980,7.157750527277755e-05,7.157750527277755e-05,0.0
3981,7.154941333106472e-05,7.154941333106472e-05,0.0
3982,7.152135528228525e-05,7.152135528228525e-05,0.0
3983,7.14933310074405e-05,7.14933310074405e-05,0.0
3984,7.146534038744423e-05,7.146534038744423e-05,0.0
3985,7.143738330312554e-05,7.143738330312554e-05,0.0
3986,7.140945963523158e-05,7.140945963523158e-05,0.0
3987,7.138156926443035e-05,7.138156926443035e-05,0.0
3988,7.135371207131361e-05,7.135371207131361e-05,0.0
3989,7.132588793639951e-05,7.132588793639951e-05,0.0
3990,7.129809674013551e-05,7.129809674013551e-05,0.0
3991,7.127033836290105e-05,7.127033836290105e-05,0.0
3992,7.124261268501036e-05,7.124261268501036e-05,0.0
3993,7.121491958671518e-05,7.121491958671518e-05,0.0
3994,7.118725894820761e-05,7.118725894820761e-05,0.0
3995,7.11596306496227e-05,7.11596306496227e-05,0.0
3996,7.113203457104127e-05,7.113203457104127e-05,0.0
3997,7.110447059249268e-05,7.110447059249268e-05,0.0
3998,7.107693859395739e-05,7.107693859395739e-05,0.0
3999,7.104943845536986e-05,7.104943845536986e-05,0.0
4000,7.102197005662106e-05,7.102197005662106e-05,0.0
4001,7.099453327756134e-05,7.099453327756134e-05,0.0
4002,7.096712799800301e-05,7.096712799800301e-05,0.0
4003,7.0939754097723e-05,7.0939754097723e-05,0.0
4004,7.091241145646561e-05,7.091241145646561e-05,0.0
4005,7.088509995394507e-05,7.088509995394507e-05,0.0
4006,7.085781946984832e-05,7.085781946984832e-05,0.0
4007,7.083056988383752e-05,7.083056988383752e-05,0.0
4008,7.080335107555272e-05,7.080335107555272e-05,0.0
4009,7.07761629246146e-05,7.07761629246146e-05,0.0
4010,7.07490053106269e-05,7.07490053106269e-05,0.0
4011,7.072187811317916e-05,7.072187811317916e-05,0.0
4012,7.069478121184932e-05,7.069478121184932e-05,0.0
4013,7.066771448620621e-05,7.066771448620621e-05,0.0
4014,7.06406778158123e-05,7.06406778158123e-05,0.0
4015,7.061367108022604e-05,7.061367108022604e-05,0.0
4016,7.05866941590047e-05,7.05866941590047e-05,0.0
4017,7.055974693170674e-05,7.055974693170674e-05,0.0
4018,7.053282927789436e-05,7.053282927789436e-05,0.0
4019,7.05059410771362e-05,7.05059410771362e-05,0.0
4020,7.047908220900966e-05,7.047908220900966e-05,0.0
4021,7.045225255310363e-05,7.045225255310363e-05,0.0
4022,7.04254519890208e-05,7.04254519890208e-05,0.0
4023,7.039868039638036e-05,7.039868039638036e-05,0.0
4024,7.037193765482039e-05,7.037193765482039e-05,0.0
4025,7.034522364400031e-05,7.034522364400031e-05,0.0
4026,7.031853824360351e-05,7.031853824360351e-05,0.0
4027,7.029188133333966e-05,7.029188133333966e-05,0.0
4028,7.026525279294729e-05,7.026525279294729e-05,0.0
4029,7.023865250219613e-05,7.023865250219613e-05,0.0
4030,7.021208034088971e-05,7.021208034088971e-05,0.0
4031,7.018553618886763e-05,7.018553618886763e-05,0.0
4032,7.015901992600809e-05,7.015901992600809e-05,0.0
4033,7.013253143223028e-05,7.013253143223028e-05,0.0
4034,7.010607058749678e-05,7.010607058749678e-05,0.0
4035,7.007963727181601e-05,7.007963727181601e-05,0.0
4036,7.005323136524452e-05,7.005323136524452e-05,0.0
4037,7.002685274788947e-05,7.002685274788947e-05,0.0
4038,7.000050129991092e-05,7.000050129991092e-05,0.0
4039,6.997417690152432e-05,6.997417690152432e-05,0.0
4040,6.994787943300266e-05,6.994787943300266e-05,0.0
4041,6.992160877467906e-05,6.992160877467906e-05,0.0
4042,6.989536480694887e-05,6.989536480694887e-05,0.0
4043,6.986914741027221e-05,6.986914741027221e-05,0.0
4044,6.98429564651761e-05,6.98429564651761e-05,0.0
4045,6.981679185225691e-05,6.981679185225691e-05,0.0
4046,6.979065345218259e-05,6.979065345218259e-05,0.0
4047,6.976454114569494e-05,6.976454114569494e-05,0.0
4048,6.973845481361196e-05,6.973845481361196e-05,0.0
4049,6.971239433683005e-05,6.971239433683005e-05,0.0
4050,6.968635959632636e-05,6.968635959632636e-05,0.0
4051,6.96603504731609e-05,6.96603504731609e-05,0.0
4052,6.9634366848479e-05,6.9634366848479e-05,0.0
4053,6.960840860351328e-05,6.960840860351328e-05,0.0
4054,6.958247561958606e-05,6.958247561958606e-05,0.0
4055,6.955656777811154e-05,6.955656777811154e-05,0.0
4056,6.9530684960598e-05,6.9530684960598e-05,0.0
4057,6.95048270486499e-05,6.95048270486499e-05,0.0
4058,6.947899392397027e-05,6.947899392397027e-05,0.0
4059,6.945318546836267e-05,6.945318546836267e-05,0.0
4060,6.942740156373345e-05,6.942740156373345e-05,0.0
4061,6.940164209209402e-05,6.940164209209402e-05,0.0
4062,6.937590693556278e-05,6.937590693556278e-05,0.0
4063,6.935019597636741e-05,6.935019597636741e-05,0.0
4064,6.932450909684698e-05,6.932450909684698e-05,0.0
4065,6.929884617945399e-05,6.929884617945399e-05,0.0
4066,6.927320710675659e-05,6.927320710675659e-05,0.0
4067,6.92475917614406e-05,6.92475917614406e-05,0.0
4068,6.922200002631162e-05,6.922200002631162e-05,0.0
4069,6.919643178429713e-05,6.919643178429713e-05,0.0
4070,6.917088691844856e-05,6.917088691844856e-05,0.0
4071,6.914536531194332e-05,6.914536531194332e-05,0.0
4072,6.911986684808694e-05,6.911986684808694e-05,0.0
4073,6.909439141031488e-05,6.909439141031488e-05,0.0
4074,6.906893888219497e-05,6.906893888219497e-05,0.0
4075,6.904350914742897e-05,6.904350914742897e-05,0.0
4076,6.901810208985492e-05,6.901810208985492e-05,0.0
4077,6.899271759344897e-05,6.899271759344897e-05,0.0
4078,6.89673555423275e-05,6.89673555423275e-05,0.0
4079,6.894201582074901e-05,6.894201582074901e-05,0.0
4080,6.891669831311605e-05,6.891669831311605e-05,0.0
4081,6.889140290397734e-05,6.889140290397734e-05,0.0
4082,6.886612947802959e-05,6.886612947802959e-05,0.0
4083,6.884087792011951e-05,6.884087792011951e-05,0.0
4084,6.881564811524571e-05,6.881564811524571e-05,0.0
4085,6.879043994856067e-05,6.879043994856067e-05,0.0
4086,6.876525330537256e-05,6.876525330537256e-05,0.0
4087,6.874008807114732e-05,6.874008807114732e-05,0.0
4088,6.871494413151034e-05,6.871494413151034e-05,0.0
4089,6.868982137224847e-05,6.868982137224847e-05,0.0
4090,6.866471967931197e-05,6.866471967931197e-05,0.0
4091,6.863963893881617e-05,6.863963893881617e-05,0.0
4092,6.861457903704348e-05,6.861457903704348e-05,0.0
4093,6.858953986044522e-05,6.858953986044522e-05,0.0
4094,6.856452129564339e-05,6.856452129564339e-05,0.0
4095,6.853952322943257e-05,6.853952322943257e-05,0.0
4096,6.85145455487817e-05,6.85145455487817e-05,0.0
4097,6.848958814083581e-05,6.848958814083581e-05,0.0
4098,6.846465089291803e-05,6.846465089291803e-05,0.0
4099,6.843973369253115e-05,6.843973369253115e-05,0.0
4100,6.84148364273595e-05,6.84148364273595e-05,0.0
4101,6.838995898527074e-05,6.838995898527074e-05,0.0
4102,6.836510125431751e-05,6.836510125431751e-05,0.0
4103,6.834026312273932e-05,6.834026312273932e-05,0.0
4104,6.831544447896419e-05,6.831544447896419e-05,0.0
4105,6.829064521161037e-05,6.829064521161037e-05,0.0
4106,6.826586520948815e-05,6.826586520948815e-05,0.0
4107,6.824110436160138e-05,6.824110436160138e-05,0.0
4108,6.821636255714946e-05,6.821636255714946e-05,0.0
4109,6.819163968552871e-05,6.819163968552871e-05,0.0
4110,6.816693563633426e-05,6.816693563633426e-05,0.0
4111,6.814225029936164e-05,6.814225029936164e-05,0.0
4112,6.811758356460847e-05,6.811758356460847e-05,0.0
4113,6.809293532227601e-05,6.809293532227601e-05,0.0
4114,6.806830546277095e-05,6.806830546277095e-05,0.0
4115,6.804369387670688e-05,6.804369387670688e-05,0.0
4116,6.801910045490603e-05,6.801910045490603e-05,0.0
4117,6.799452508840082e-05,6.799452508840082e-05,0.0
4118,6.796996766843545e-05,6.796996766843545e-05,0.0
4119,6.79454280864675e-05,6.79454280864675e-05,0.0
