t,f_total,f_a,f_b
3948,7.169231105965994e-05,7.169231105965994e-05,0.0
3949,7.166250468511062e-05,7.166250468511062e-05,0.0
3950,7.163273256278982e-05,7.163273256278982e-05,0.0
3951,7.160299459476679e-05,7.160299459476679e-05,0.0
3952,7.157329068296218e-05,7.157329068296218e-05,0.0
3953,7.154362072915062e-05,7.154362072915062e-05,0.0
3954,7.151398463496321e-05,7.151398463496321e-05,0.0
3955,7.148438230189017e-05,7.148438230189017e-05,0.0
3956,7.145481363128337e-05,7.145481363128337e-05,0.0
3957,7.142527852435886e-05,7.142527852435886e-05,0.0
3958,7.139577688219947e-05,7.139577688219947e-05,0.0
3959,7.136630860575729e-05,7.136630860575729e-05,0.0
3960,7.133687359585624e-05,7.133687359585624e-05,0.0
3961,7.130747175319465e-05,7.130747175319465e-05,0.0
3962,7.127810297834766e-05,7.127810297834766e-05,0.0
3963,7.124876717176984e-05,7.124876717176984e-05,0.0
3964,7.121946423379771e-05,7.121946423379771e-05,0.0
3965,7.119019406465215e-05,7.119019406465215e-05,0.0
3966,7.1160956564441e-05,7.1160956564441e-05,0.0
3967,7.11317516331615e-05,7.11317516331615e-05,0.0
3968,7.110257917070277e-05,7.110257917070277e-05,0.0
3969,7.107343907684837e-05,7.107343907684837e-05,0.0
3970,7.104433125127869e-05,7.104433125127869e-05,0.0
3971,7.10152555935734e-05,7.10152555935734e-05,0.0
3972,7.09862120032141e-05,7.09862120032141e-05,0.0
3973,7.095720037958645e-05,7.095720037958645e-05,0.0
3974,7.0928220621983e-05,7.0928220621983e-05,0.0
3975,7.089927262960529e-05,7.089927262960529e-05,0.0
3976,7.087035630156654e-05,7.087035630156654e-05,0.0
3977,7.084147153689399e-05,7.084147153689399e-05,0.0
3978,7.081261823453125e-05,7.081261823453125e-05,0.0
3979,7.078379629334084e-05,7.078379629334084e-05,0.0
3980,7.07550056121065e-05,7.07550056121065e-05,0.0
3981,7.072624608953573e-05,7.072624608953573e-05,0.0
3982,7.069751762426202e-05,7.069751762426202e-05,0.0
3983,7.066882011484739e-05,7.066882011484739e-05,0.0
3984,7.064015345978466e-05,7.064015345978466e-05,0.0
3985,7.061151755749991e-05,7.061151755749991e-05,0.0
3986,7.058291230635483e-05,7.058291230635483e-05,0.0
3987,7.055433760464906e-05,7.055433760464906e-05,0.0
3988,7.052579335062259e-05,7.052579335062259e-05,0.0
3989,7.049727944245806e-05,7.049727944245806e-05,0.0
3990,7.046879577828316e-05,7.046879577828316e-05,0.0
3991,7.044034225617293e-05,7.044034225617293e-05,0.0
3992,7.041191877415212e-05,7.041191877415212e-05,0.0
3993,7.03835252301975e-05,7.03835252301975e-05,0.0
3994,7.035516152224014e-05,7.035516152224014e-05,0.0
3995,7.032682754816777e-05,7.032682754816777e-05,0.0
3996,7.029852320582713e-05,7.029852320582713e-05,0.0
3997,7.027024839302615e-05,7.027024839302615e-05,0.0
3998,7.024200300753626e-05,7.024200300753626e-05,0.0
3999,7.021378694709478e-05,7.021378694709478e-05,0.0
4000,7.018560010940715e-05,7.018560010940715e-05,0.0
4001,7.015744239214906e-05,7.015744239214906e-05,0.0
4002,7.012931369296895e-05,7.012931369296895e-05,0.0
4003,7.010121390949003e-05,7.010121390949003e-05,0.0
4004,7.00731429393127e-05,7.00731429393127e-05,0.0
4005,7.004510068001669e-05,7.004510068001669e-05,0.0
4006,7.001708702916338e-05,7.001708702916338e-05,0.0
4007,6.99891018842979e-05,6.99891018842979e-05,0.0
4008,6.996114514295145e-05,6.996114514295145e-05,0.0
4009,6.993321670264351e-05,6.993321670264351e-05,0.0
4010,6.990531646088399e-05,6.990531646088399e-05,0.0
4011,6.98774443151754e-05,6.98774443151754e-05,0.0
4012,6.984960016301518e-05,6.984960016301518e-05,0.0
4013,6.982178390189768e-05,6.982178390189768e-05,0.0
4014,6.979399542931656e-05,6.979399542931656e-05,0.0
4015,6.976623464276675e-05,6.976623464276675e-05,0.0
4016,6.973850143974667e-05,6.973850143974667e-05,0.0
4017,6.971079571776052e-05,6.971079571776052e-05,0.0
4018,6.968311737432021e-05,6.968311737432021e-05,0.0
4019,6.965546630694765e-05,6.965546630694765e-05,0.0
4020,6.962784241317678e-05,6.962784241317678e-05,0.0
4021,6.960024559055576e-05,6.960024559055576e-05,0.0
4022,6.957267573664904e-05,6.957267573664904e-05,0.0
4023,6.954513274903952e-05,6.954513274903952e-05,0.0
4024,6.951761652533056e-05,6.951761652533056e-05,0.0
4025,6.949012696314815e-05,6.949012696314815e-05,0.0
4026,6.946266396014298e-05,6.946266396014298e-05,0.0
4027,6.943522741399244e-05,6.943522741399244e-05,0.0
4028,6.940781722240278e-05,6.940781722240278e-05,0.0
4029,6.938043328311116e-05,6.938043328311116e-05,0.0
4030,6.935307549388762e-05,6.935307549388762e-05,0.0
4031,6.93257437525372e-05,6.93257437525372e-05,0.0
4032,6.929843795690197e-05,6.929843795690197e-05,0.0
4033,6.927115800486304e-05,6.927115800486304e-05,0.0
4034,6.924390379434256e-05,6.924390379434256e-05,0.0
4035,6.921667522330576e-05,6.921667522330576e-05,0.0
4036,6.918947218976298e-05,6.918947218976298e-05,0.0
4037,6.916229459177156e-05,6.916229459177156e-05,0.0
4038,6.9135142327438e-05,6.9135142327438e-05,0.0
4039,6.910801529491978e-05,6.910801529491978e-05,0.0
4040,6.908091339242742e-05,6.908091339242742e-05,0.0
4041,6.905383651822642e-05,6.905383651822642e-05,0.0
4042,6.902678457063921e-05,6.902678457063921e-05,0.0
4043,6.899975744804711e-05,6.899975744804711e-05,0.0
4044,6.897275504889231e-05,6.897275504889231e-05,0.0
4045,6.894577727167966e-05,6.894577727167966e-05,0.0
4046,6.891882401497882e-05,6.891882401497882e-05,0.0
4047,6.889189517742592e-05,6.889189517742592e-05,0.0
4048,6.886499065772572e-05,6.886499065772572e-05,0.0
4049,6.883811035465332e-05,6.883811035465332e-05,0.0
4050,6.881125416705614e-05,6.881125416705614e-05,0.0
4051,6.87844219938558e-05,6.87844219938558e-05,0.0
4052,6.875761373404997e-05,6.875761373404997e-05,0.0
4053,6.873082928671426e-05,6.873082928671426e-05,0.0
4054,6.870406855100406e-05,6.870406855100406e-05,0.0
4055,6.867733142615641e-05,6.867733142615641e-05,0.0
4056,6.865061781149183e-05,6.865061781149183e-05,0.0
4057,6.862392760641615e-05,6.862392760641615e-05,0.0
4058,6.859726071042239e-05,6.859726071042239e-05,0.0
4059,6.857061702309251e-05,6.857061702309251e-05,0.0
4060,6.854399644409919e-05,6.854399644409919e-05,0.0
4061,6.851739887320781e-05,6.851739887320781e-05,0.0
4062,6.849082421027803e-05,6.849082421027803e-05,0.0
4063,6.846427235526571e-05,6.846427235526571e-05,0.0
4064,6.843774320822464e-05,6.843774320822464e-05,0.0
4065,6.841123666930829e-05,6.841123666930829e-05,0.0
4066,6.838475263877163e-05,6.838475263877163e-05,0.0
4067,6.835829101697285e-05,6.835829101697285e-05,0.0
4068,6.833185170437506e-05,6.833185170437506e-05,0.0
4069,6.830543460154813e-05,6.830543460154813e-05,0.0
4070,6.827903960917029e-05,6.827903960917029e-05,0.0
4071,6.825266662802998e-05,6.825266662802998e-05,0.0
4072,6.822631555902748e-05,6.822631555902748e-05,0.0
4073,6.81999863031766e-05,6.81999863031766e-05,0.0
4074,6.817367876160644e-05,6.817367876160644e-05,0.0
4075,6.8147392835563e-05,6.8147392835563e-05,0.0
4076,6.812112842641092e-05,6.812112842641092e-05,0.0
4077,6.809488543563513e-05,6.809488543563513e-05,0.0
4078,6.806866376484251e-05,6.806866376484251e-05,0.0
4079,6.804246331576352e-05,6.804246331576352e-05,0.0
4080,6.801628399025387e-05,6.801628399025387e-05,0.0
4081,6.799012569029615e-05,6.799012569029615e-05,0.0
4082,6.796398831800145e-05,6.796398831800145e-05,0.0
4083,6.793787177561098e-05,6.793787177561098e-05,0.0
4084,6.791177596549769e-05,6.791177596549769e-05,0.0
4085,6.788570079016784e-05,6.788570079016784e-05,0.0
4086,6.785964615226264e-05,6.785964615226264e-05,0.0
4087,6.783361195455982e-05,6.783361195455982e-05,0.0
4088,6.780759809997517e-05,6.780759809997517e-05,0.0
4089,6.778160449156414e-05,6.778160449156414e-05,0.0
4090,6.77556310325234e-05,6.77556310325234e-05,0.0
4091,6.772967762619236e-05,6.772967762619236e-05,0.0
4092,6.770374417605479e-05,6.770374417605479e-05,0.0
4093,6.767783058574024e-05,6.767783058574024e-05,0.0
4094,6.765193675902566e-05,6.765193675902566e-05,0.0
4095,6.762606259983686e-05,6.762606259983686e-05,0.0
4096,6.760020801225006e-05,6.760020801225006e-05,0.0
4097,6.757437290049333e-05,6.757437290049333e-05,0.0
4098,6.754855716894818e-05,6.754855716894818e-05,0.0
4099,6.752276072215092e-05,6.752276072215092e-05,0.0
4100,6.74969834647942e-05,6.74969834647942e-05,0.0
4101,6.747122530172852e-05,6.747122530172852e-05,0.0
4102,6.744548613796359e-05,6.744548613796359e-05,0.0
4103,6.741976587866984e-05,6.741976587866984e-05,0.0
4104,6.739406442917983e-05,6.739406442917983e-05,0.0
4105,6.736838169498973e-05,6.736838169498973e-05,0.0
4106,6.734271758176066e-05,6.734271758176066e-05,0.0
4107,6.73170719953202e-05,6.73170719953202e-05,0.0
4108,6.729144484166373e-05,6.729144484166373e-05,0.0
4109,6.726583602695581e-05,6.726583602695581e-05,0.0
4110,6.724024545753162e-05,6.724024545753162e-05,0.0
4111,6.72146730398984e-05,6.72146730398984e-05,0.0
4112,6.718911868073661e-05,6.718911868073661e-05,0.0
4113,6.716358228690154e-05,6.716358228690154e-05,0.0
4114,6.713806376542447e-05,6.713806376542447e-05,0.0
4115,6.711256302351411e-05,6.711256302351411e-05,0.0
4116,6.708707996855802e-05,6.708707996855802e-05,0.0
4117,6.706161450812368e-05,6.706161450812368e-05,0.0
4118,6.703616654996009e-05,6.703616654996009e-05,0.0
4119,6.70107360019989e-05,6.70107360019989e-05,0.0
4120,6.69853227723558e-05,6.69853227723558e-05,0.0
4121,6.69599267693318e-05,6.69599267693318e-05,0.0
4122,6.693454790141446e-05,6.693454790141446e-05,0.0
4123,6.69091860772793e-05,6.69091860772793e-05,0.0
4124,6.688384120579083e-05,6.688384120579083e-05,0.0
4125,6.685851319600413e-05,6.685851319600413e-05,0.0
4126,6.683320195716578e-05,6.683320195716578e-05,0.0
4127,6.680790739871537e-05,6.680790739871537e-05,0.0
