t,f_total,f_a,f_b
4428,5.8787659737186666e-05,5.8787659737186666e-05,0.0
4429,5.8765064708007606e-05,5.8765064708007606e-05,0.0
4430,5.8742468044778506e-05,5.8742468044778506e-05,0.0
4431,5.871986973272566e-05,5.871986973272566e-05,0.0
4432,5.869726975738101e-05,5.869726975738101e-05,0.0
4433,5.8674668104581506e-05,5.8674668104581506e-05,0.0
4434,5.8652064760468195e-05,5.8652064760468195e-05,0.0
4435,5.8629459711485496e-05,5.8629459711485496e-05,0.0
4436,5.860685294438034e-05,5.860685294438034e-05,0.0
4437,5.858424444620141e-05,5.858424444620141e-05,0.0
4438,5.856163420429819e-05,5.856163420429819e-05,0.0
4439,5.8539022206320295e-05,5.8539022206320295e-05,0.0
4440,5.851640844021653e-05,5.851640844021653e-05,0.0
4441,5.849379289423413e-05,5.849379289423413e-05,0.0
4442,5.8471175556917876e-05,5.8471175556917876e-05,0.0
4443,5.844855641710932e-05,5.844855641710932e-05,0.0
4444,5.842593546394587e-05,5.842593546394587e-05,0.0
4445,5.840331268685992e-05,5.840331268685992e-05,0.0
4446,5.8380688075578184e-05,5.8380688075578184e-05,0.0
4447,5.835806162012059e-05,5.835806162012059e-05,0.0
4448,5.833543331079961e-05,5.833543331079961e-05,0.0
4449,5.831280313821929e-05,5.831280313821929e-05,0.0
4450,5.829017109327442e-05,5.829017109327442e-05,0.0
4451,5.826753716714978e-05,5.826753716714978e-05,0.0
4452,5.824490135131904e-05,5.824490135131904e-05,0.0
4453,5.8222263637544087e-05,5.8222263637544087e-05,0.0
4454,5.819962401787404e-05,5.819962401787404e-05,0.0
4455,5.8176982484644395e-05,5.8176982484644395e-05,0.0
4456,5.8154339030476164e-05,5.8154339030476164e-05,0.0
4457,5.8131693648274944e-05,5.8131693648274944e-05,0.0
4458,5.810904633123009e-05,5.810904633123009e-05,0.0
4459,5.8086397072813736e-05,5.8086397072813736e-05,0.0
4460,5.806374586677996e-05,5.806374586677996e-05,0.0
4461,5.804109270716388e-05,5.804109270716388e-05,0.0
4462,5.801843758828072e-05,5.801843758828072e-05,0.0
4463,5.799578050472493e-05,5.799578050472493e-05,0.0
4464,5.7973121451369275e-05,5.7973121451369275e-05,0.0
4465,5.795046042336389e-05,5.795046042336389e-05,0.0
4466,5.792779741613538e-05,5.792779741613538e-05,0.0
4467,5.7905132425385973e-05,5.7905132425385973e-05,0.0
4468,5.788246544709247e-05,5.788246544709247e-05,0.0
4469,5.78597964775054e-05,5.78597964775054e-05,0.0
4470,5.7837125513148095e-05,5.7837125513148095e-05,0.0
4471,5.781445255081572e-05,5.781445255081572e-05,0.0
4472,5.7791777587574384e-05,5.7791777587574384e-05,0.0
4473,5.7769100620760187e-05,5.7769100620760187e-05,0.0
4474,5.774642164797824e-05,5.774642164797824e-05,0.0
4475,5.7723740667101784e-05,5.7723740667101784e-05,0.0
4476,5.7701057676271245e-05,5.7701057676271245e-05,0.0
4477,5.767837267389323e-05,5.767837267389323e-05,0.0
4478,5.765568565863962e-05,5.765568565863962e-05,0.0
4479,5.763299662944663e-05,5.763299662944663e-05,0.0
4480,5.7610305585513795e-05,5.7610305585513795e-05,0.0
4481,5.758761252630312e-05,5.758761252630312e-05,0.0
4482,5.7564917451537985e-05,5.7564917451537985e-05,0.0
4483,5.7542220361202287e-05,5.7542220361202287e-05,0.0
4484,5.7519521255539426e-05,5.7519521255539426e-05,0.0
4485,5.749682013505138e-05,5.749682013505138e-05,0.0
4486,5.747411700049766e-05,5.747411700049766e-05,0.0
4487,5.745141185289444e-05,5.745141185289444e-05,0.0
4488,5.7428704693513496e-05,5.7428704693513496e-05,0.0
4489,5.7405995523881264e-05,5.7405995523881264e-05,0.0
4490,5.738328434577785e-05,5.738328434577785e-05,0.0
4491,5.73605711612361e-05,5.73605711612361e-05,0.0
4492,5.7337855972540545e-05,5.7337855972540545e-05,0.0
4493,5.731513878222643e-05,5.731513878222643e-05,0.0
4494,5.729241959307879e-05,5.729241959307879e-05,0.0
