t,f_total,f_a,f_b
3819,7.257686456788059e-05,7.257686456788059e-05,0.0
3820,7.254040270784258e-05,7.254040270784258e-05,0.0
3821,7.250399626516564e-05,7.250399626516564e-05,0.0
3822,7.246764517975304e-05,7.246764517975304e-05,0.0
3823,7.243134939079388e-05,7.243134939079388e-05,0.0
3824,7.239510883676653e-05,7.239510883676653e-05,0.0
3825,7.23589234554425e-05,7.23589234554425e-05,0.0
3826,7.232279318388965e-05,7.232279318388965e-05,0.0
3827,7.228671795847611e-05,7.228671795847611e-05,0.0
3828,7.225069771487369e-05,7.225069771487369e-05,0.0
3829,7.221473238806149e-05,7.221473238806149e-05,0.0
3830,7.217882191232959e-05,7.217882191232959e-05,0.0
3831,7.214296622128254e-05,7.214296622128254e-05,0.0
3832,7.210716524784306e-05,7.210716524784306e-05,0.0
3833,7.207141892425562e-05,7.207141892425562e-05,0.0
3834,7.203572718209e-05,7.203572718209e-05,0.0
3835,7.200008995224501e-05,7.200008995224501e-05,0.0
3836,7.196450716495198e-05,7.196450716495198e-05,0.0
3837,7.192897874977848e-05,7.192897874977848e-05,0.0
3838,7.189350463563193e-05,7.189350463563193e-05,0.0
3839,7.185808475076316e-05,7.185808475076316e-05,0.0
3840,7.182271902277011e-05,7.182271902277011e-05,0.0
3841,7.178740737860142e-05,7.178740737860142e-05,0.0
3842,7.175214974456008e-05,7.175214974456008e-05,0.0
3843,7.171694604630704e-05,7.171694604630704e-05,0.0
3844,7.16817962088649e-05,7.16817962088649e-05,0.0
3845,7.164670015662151e-05,7.164670015662151e-05,0.0
3846,7.161165781333355e-05,7.161165781333355e-05,0.0
3847,7.15766691021303e-05,7.15766691021303e-05,0.0
3848,7.154173394551723e-05,7.154173394551723e-05,0.0
3849,7.15068522653796e-05,7.15068522653796e-05,0.0
3850,7.147202398298611e-05,7.147202398298611e-05,0.0
3851,7.143724901899263e-05,7.143724901899263e-05,0.0
3852,7.140252729344578e-05,7.140252729344578e-05,0.0
3853,7.13678587257866e-05,7.13678587257866e-05,0.0
3854,7.133324323485422e-05,7.133324323485422e-05,0.0
3855,7.129868073888947e-05,7.129868073888947e-05,0.0
3856,7.126417115553855e-05,7.126417115553855e-05,0.0
3857,7.122971440185667e-05,7.122971440185667e-05,0.0
3858,7.119531039431187e-05,7.119531039431187e-05,0.0
3859,7.116095904878833e-05,7.116095904878833e-05,0.0
3860,7.112666028059037e-05,7.112666028059037e-05,0.0
3861,7.109241400444595e-05,7.109241400444595e-05,0.0
3862,7.105822013451032e-05,7.105822013451032e-05,0.0
3863,7.102407858436973e-05,7.102407858436973e-05,0.0
3864,7.098998926704503e-05,7.098998926704503e-05,0.0
3865,7.095595209499541e-05,7.095595209499541e-05,0.0
3866,7.0921966980122e-05,7.0921966980122e-05,0.0
3867,7.088803383377155e-05,7.088803383377155e-05,0.0
3868,7.085415256674008e-05,7.085415256674008e-05,0.0
3869,7.082032308927655e-05,7.082032308927655e-05,0.0
3870,7.078654531108651e-05,7.078654531108651e-05,0.0
3871,7.075281914133575e-05,7.075281914133575e-05,0.0
3872,7.071914448865402e-05,7.071914448865402e-05,0.0
3873,7.068552126113859e-05,7.068552126113859e-05,0.0
3874,7.065194936635797e-05,7.065194936635797e-05,0.0
3875,7.061842871135561e-05,7.061842871135561e-05,0.0
3876,7.058495920265342e-05,7.058495920265342e-05,0.0
3877,7.055154074625562e-05,7.055154074625562e-05,0.0
3878,7.051817324765218e-05,7.051817324765218e-05,0.0
3879,7.048485661182262e-05,7.048485661182262e-05,0.0
3880,7.045159074323967e-05,7.045159074323967e-05,0.0
3881,7.041837554587282e-05,7.041837554587282e-05,0.0
3882,7.038521092319206e-05,7.038521092319206e-05,0.0
3883,7.03520967781715e-05,7.03520967781715e-05,0.0
3884,7.031903301329303e-05,7.031903301329303e-05,0.0
