dst,valid,reason_invalid,mass,remaining,steps,fig3_bimodal,fig3_t1,fig3_h1,fig3_t2,fig3_h2,robust_bimodal,robust_t1,robust_h1,robust_t2,robust_h2,robust_sep,robust_ratio,robust_valley,robust_valley_ratio
55,True,,0.9857522538474567,0.014247746152543084,8000,True,44,1.741729084203746e-05,46,2.4138918860810165e-05,True,240,0.0012737379271287206,290,0.0012427235725956708,50,0.9756509138398958,0.00014188113857695558,0.1141695077696234
56,True,,0.9842377319413822,0.01576226805861777,8000,True,47,1.8814011917564334e-05,49,2.5765403681202887e-05,True,237,0.0013525323236522604,287,0.0013172378809005627,50,0.973904917365382,2.1124911692587868e-07,0.00016037279218044726
57,True,,0.9826370749838619,0.01736292501613812,8000,True,50,1.3716538957301005e-05,52,1.8344013250896798e-05,True,278,0.0011040729263506349,328,0.0010839724085339507,50,0.9817942118342456,0.0001193446109671907,0.11009930698199386
58,True,,0.9809341019776776,0.019065898022322163,8000,True,51,1.5199090421396686e-05,53,2.040031887363979e-05,True,267,0.0011779931741637637,317,0.001152074873304176,50,0.9779979193190261,6.941354564756217e-07,0.0006025089797200646
59,True,,0.9791459168651275,0.020854083134871762,8000,True,55,1.0785215262950827e-05,66,3.2298110392963164e-05,True,320,0.0009672688850117914,370,0.00095444730359337,50,0.9867445530223325,9.827228090040067e-05,0.10296250042345796
60,True,,0.9772545842507016,0.022745415749298205,8000,True,53,1.2012792883195126e-05,55,1.5845104330077138e-05,True,297,0.001030756548140133,347,0.0010130239139524238,50,0.9827964865033305,1.8031302520828362e-06,0.0017799483578306912
61,True,,0.9752804978525411,0.024719502147458033,8000,True,55,1.0785215262950827e-05,57,1.3540088842900014e-05,True,368,0.0008564122496109718,418,0.0008484196686449768,50,0.9906673672993052,7.953905387150686e-05,0.09374965811264115
62,True,,0.9732038614654785,0.026796138534521157,8000,True,53,9.363755590253858e-06,55,1.2237860939861952e-05,True,329,0.0009058924769353215,379,0.00089403506301406,50,0.9869107932528861,4.07817395635423e-06,0.004561536929665246
63,True,,0.9710484759077256,0.028951524092274337,8000,True,53,8.387525990444665e-06,55,1.0785215262950827e-05,True,426,0.0007668459776692127,476,0.0007618353858985665,50,0.9934659737202044,6.35402185615005e-05,0.08340413130922811
64,True,,0.9687926024958712,0.03120739750412878,8000,True,53,8.620382605720317e-06,55,1.115788798012903e-05,True,365,0.0007996157262846822,415,0.0007914646296159033,50,0.9898062326679692,8.36208423258826e-06,0.010565329036430052
65,True,,0.9664635387514215,0.03353646124857816,8000,True,53,8.387525990444665e-06,55,1.0785215262950827e-05,True,496,0.0006953640455317433,546,0.0006924238319029202,50,0.9957716916085664,5.130285938851028e-05,0.07409170081208744
66,True,,0.9640375550645921,0.035962444935408115,8000,True,53,8.436274028796982e-06,55,1.087001674060076e-05,True,407,0.0007089358470059611,457,0.0007028694011815136,50,0.9914428846417235,1.5749886366175922e-05,0.02240798410017648
67,True,,0.9615455126930815,0.03845448730691834,8000,True,53,8.387525990444665e-06,55,1.0785215262950827e-05,True,582,0.0006394439771250221,632,0.0006376915970753471,50,0.9972595252870253,4.264985599490952e-05,0.06688163399128214
68,True,,0.9589616854289171,0.041038314571083014,8000,True,51,6.349282752982501e-06,53,8.396379209064119e-06,True,451,0.0006314473912329313,501,0.0006273510896485802,50,0.9935128379003152,2.6050054196752825e-05,0.041523884514722276
69,True,,0.9563205499022254,0.04367945009777429,8000,True,51,6.345011937268821e-06,53,8.387525990444665e-06,True,682,0.0005962947112420243,732,0.0005950471601701983,50,0.9979078280449152,3.726728525945246e-05,0.06262912883878496
70,True,,0.9535944319209508,0.04640556807904864,8000,True,51,6.345592444504457e-06,53,8.388900006063013e-06,True,503,0.0005652304809406521,553,0.000562201316027749,50,0.9946408323417697,4.0206484819867054e-05,0.07151616987300427
71,True,,0.9508214697390533,0.04917853026094606,8000,True,51,6.345011937268821e-06,53,8.387525990444665e-06,True,782,0.0005624940467989729,832,0.0005615150190357117,50,0.9982594877779905,3.463650915716207e-05,0.061684029781862756
72,True,,0.9479721590062262,0.052027840993773916,8000,True,51,6.345076169557262e-06,53,8.387704622815867e-06,True,559,0.0005087962748961063,609,0.000506765497801513,50,0.9960086635952514,5.6577004807376404e-05,0.1116433637507346
73,True,,0.9450883547931574,0.054911645206841844,8000,True,51,6.345011937268821e-06,53,8.387525990444665e-06,True,874,0.0005348796037044451,924,0.0005340783496936342,50,0.9985019918402915,3.371218756389867e-05,0.06312217595646247
74,True,,0.9421389303898668,0.05786106961013366,8000,True,49,4.647888852772798e-06,51,6.345017494941113e-06,True,625,0.00046100278962202766,675,0.00045947364602327904,50,0.9966830057579427,7.526921552517788e-05,0.16381617569718981
75,True,,0.9391695430728777,0.0608304569271221,8000,True,51,6.345011937268821e-06,53,8.387525990444665e-06,True,958,0.000511259551354114,1008,0.0005105687082105983,50,0.9986487428123624,3.376436693149699e-05,0.06613089754331347
76,True,,0.9361477722036196,0.06385222779638,8000,True,49,4.647887611165158e-06,51,6.345012290007236e-06,True,697,0.0004208355507020373,747,0.00041964129649787996,50,0.9971621831801875,9.392519410481706e-05,0.22382257153590596
77,True,,0.933123225682682,0.06687677431731809,8000,True,51,6.345011937268821e-06,53,8.387525990444665e-06,True,1036,0.000490293435079697,1086,0.000489656900385047,50,0.9987017270697361,3.4447201047940534e-05,0.07034966937227394
78,True,,0.9300626855862603,0.06993731441373967,8000,True,49,4.647887556295469e-06,51,6.345011951874422e-06,True,769,0.00038712861177017427,819,0.00038622070849616197,50,0.997654776096603,0.00011043203458447294,0.28592986381922697
79,True,,0.9270199747336424,0.07298002526635662,8000,True,51,6.345011937268821e-06,53,8.387525990494008e-06,True,1108,0.00047116207202087284,1158,0.0004705749371054412,50,0.998753857854234,3.5665515621437804e-05,0.07579136245721109
80,True,,0.9239618198386171,0.07603818016138249,8000,True,49,4.647887555111231e-06,51,6.34501193756488e-06,True,841,0.0003585390622718898,891,0.0003577593036871745,50,0.9978251781555563,0.0001248077777247159,0.3488596283546216
81,True,,0.9209467274345631,0.07905327256543676,8000,True,49,4.647887555111231e-06,51,6.345011937466194e-06,True,1174,0.00045333915176635564,1224,0.0004528215759677028,50,0.9988583033328663,3.7412245376649e-05,0.08262027995617727
82,True,,0.9179424860483572,0.08205751395164218,8000,True,49,4.647887555111231e-06,51,6.345011937268821e-06,True,907,0.0003338249428439681,957,0.0003332005775209784,50,0.9981296624582018,0.00013653759068289108,0.40977597247500164
83,True,,0.9150131141816309,0.08498688581836861,8000,True,49,4.647887555900724e-06,51,6.345011946874307e-06,True,1236,0.0004364563655028562,1286,0.00043600142679594525,50,0.9989576536330572,3.9695729296692845e-05,0.09104495273881523
84,True,,0.9121291831272507,0.08787081687274925,8000,True,47,3.2783266661216407e-06,49,4.647887555111231e-06,True,971,0.000312082900175228,1021,0.0003115609719737615,50,0.99832759756727,0.0001467995419028091,0.47117436106590405
85,True,,0.909361694236424,0.09063830576357518,8000,True,49,4.647887591954189e-06,51,6.3450121658925265e-06,True,1296,0.0004202278387481895,1346,0.00041980530376690083,50,0.9989945097817713,4.258131226980693e-05,0.10143109648145472
86,True,,0.9066867469404782,0.09331325305952085,8000,True,47,3.2783266661216407e-06,49,4.647887555111231e-06,True,1033,0.00029277159796540716,1083,0.0002923391913539379,50,0.9985230581980143,0.00015589502708985645,0.5332676278122177
87,True,,0.904184982154099,0.09581501784590005,8000,True,49,4.647888395130643e-06,51,6.3450154834326405e-06,True,1352,0.00040439596119930374,1402,0.0004040179106880647,50,0.9990651476584537,4.62949920059012e-05,0.11458648436416664
88,True,,0.9018426130539097,0.09815738694609018,8000,True,47,3.2783266661216407e-06,49,4.647887555111231e-06,True,1095,0.0002756039896497022,1145,0.00027522386823566495,50,0.9986207695522826,0.00016421920742486123,0.5966750212385135
89,True,,0.899754863780889,0.10024513621911002,8000,True,49,4.6479000228847304e-06,51,6.345052235734193e-06,True,1406,0.00038868690284696246,1456,0.0003883355533460754,50,0.9990960603552279,5.1068523542497434e-05,0.1315061757865533
90,True,,0.897926168409994,0.10207383159000497,8000,True,47,3.2783266661216407e-06,49,4.647887555111231e-06,True,1153,0.00026044055135537213,1203,0.00026012351394897107,50,0.998782688007873,0.0001716224287564208,0.6597728369534801
91,True,,0.8964759443839985,0.10352405561600017,8000,True,49,4.648022973406311e-06,51,6.345369553388741e-06,True,1458,0.00037275107951175617,1508,0.0003724109574919243,50,0.9990875357885552,5.73481713956069e-05,0.15399163274311148
92,True,,0.8954421956911707,0.10455780430882873,8000,True,47,3.2783266661216407e-06,49,4.647887555111231e-06,False,1205,0.0002472583544960428,1255,0.00024700134481384274,50,0.9989605621912194,0.00017840234034686124,0.7222727490869232
93,True,,0.8949883504846842,0.10501164951531557,8000,True,49,4.649034715753583e-06,51,6.3475913547416745e-06,True,1504,0.00035606378911499903,1554,0.0003557649297197163,50,0.9991606577124129,6.601662626005361e-05,0.18556249013095177
94,True,,0.8952175144650796,0.10478248553491945,8000,True,47,3.2783266682269525e-06,49,4.647887579848645e-06,False,1249,0.0002362090271663524,1299,0.00023597869740750335,50,0.9990248901085104,0.00018510264545937852,0.7844040478778102
95,True,,0.8963812072862114,0.10361879271378806,8000,True,49,4.6557760289441955e-06,51,6.360554103308894e-06,True,1548,0.0003377045445855421,1598,0.0003374155663570318,50,0.9991442868236642,7.83662438202503e-05,0.2322543819372225
96,True,,0.8987188848116838,0.10128111518831494,8000,True,47,3.2783287475732497e-06,49,4.647896056379813e-06,False,1269,0.00022783205314119237,1319,0.0002276401657167405,50,0.9991577680936187,0.00019232192788455312,0.8448505881157418
97,True,,0.9026773774994254,0.09732262250057341,8000,True,49,4.693216714711732e-06,51,6.425005679756396e-06,True,251,0.00035565375566472203,301,0.0003471605958444002,50,0.976119583485213,1.3833472523619802e-06,0.0039847473155680555
98,True,,0.9088099909944647,0.0911900090055332,8000,True,47,3.278637540284206e-06,49,4.648683366295697e-06,True,217,0.0002514466199235361,267,0.00024422300221464753,50,0.971271764515724,0.00014082836003812539,0.5766383950777552
99,True,,0.9180377268388671,0.08196227316113111,8000,True,49,4.874099744455804e-06,51,6.709871117977887e-06,True,265,0.0004661667205850125,315,0.00045662237038258697,50,0.9795258868105214,1.4522462789301275e-06,0.003180409837812686
100,True,,0.9316637228991135,0.06833627710088412,8000,True,47,3.2950616443983416e-06,49,4.679930193172748e-06,False,243,0.00032655970797892513,293,0.0003190864272969793,50,0.9771151170847198,0.0002338938242928764,0.7330108844623069
101,False,Invalid shortcut: dst=101 is already a ring neighbour of src=1 for K=2.,,,,,,,,,,,,,,,,,
