case_id,role,N,start_a,start_b,q1,q2,t_main,t_late,f2_peaks_n,f2_true_double_peak,f2_shoulder_t,f2_shoulder_score,oscillation_index,jsd_early_late_bits,late_window_mass,hazard_early_mean,hazard_late_mean,hazard_late_over_early,max_positive_delta_k,max_positive_delta,target_shift_score,top_k_early,top_k_late,top_k_changed,classification,leading_lambda,leading_timescale,leading_mode_top_k,leading_mode_tail_weight,boundary_best_interior_score,boundary_score_ratio,boundary_induced,boundary_parent
C_boundary_1_4,representative,31,1,4,0.05,0.02,53,80,27,False,80,26.285579851160104,0.04968871325521841,0.005248360397857473,0.0480879223526286,0.005790382416570588,0.006136784582612193,1.0598237113062328,5,0.030666112433009783,7.739597704570989e-06,3,3,False,same_target_tail,0.9998275268231733,5797.503004988036,16,2.215286957544818e-06,23.30590547149156,1.1278506163733208,False,
C_boundary_1_4_interior_1,interior_control,31,4,7,0.05,0.02,44,66,22,False,66,23.30590547149156,0.049564524390739655,0.0063045509206397935,0.027406522482193062,0.003675271575966902,0.003636658547826634,0.9894938299545634,8,0.027949905385541887,4.829347224442338e-06,6,6,False,same_target_tail,0.999827526823174,5797.503005010429,16,8.504791764195084e-06,,1.1278506163733208,,C_boundary_1_4
C_boundary_1_4_interior_2,interior_control,31,7,10,0.05,0.02,44,66,22,False,66,21.627243169133486,0.04956375928440731,0.00623428852689664,0.02738589061442914,0.003675060124001424,0.0036338254383785173,0.9887798609460543,11,0.027993173560845408,4.779317733884155e-06,9,9,False,same_target_tail,0.9998275268231731,5797.503004980572,16,1.7035150018102428e-05,,1.2153920703437144,,C_boundary_1_4
C_boundary_1_4_interior_3,interior_control,31,10,13,0.05,0.02,44,66,22,False,66,20.421671038726465,0.04956375927833584,0.006234283536889847,0.02738589012333519,0.0036750601236292795,0.0036338253718503416,0.9887798429435716,14,0.027993174679202336,4.7793140136894e-06,12,12,False,same_target_tail,0.9998275268231744,5797.503005025358,16,2.6220471442490708e-05,,1.287141478349821,,C_boundary_1_4
C_boundary_1_4_interior_4,interior_control,31,14,17,0.05,0.02,44,66,22,False,66,19.451835684015474,0.04956375927833579,0.006234283536876718,0.02738589012333431,0.0036750601236292795,0.0036338253718502236,0.9887798429435394,18,0.02799317467920434,4.779314013679524e-06,16,16,False,same_target_tail,0.9998275268231753,5797.503005055216,16,3.675471618891602e-05,,1.351316157413372,,C_boundary_1_4
D_negative_control,negative_control,21,6,2,0.02,0.9,4,12,4,False,12,3.733536518549666,0.2705327484364085,0.011376119065901507,0.2477944053628974,0.020776705654080782,0.03621592121301836,1.7431021941587326,7,0.037251804427026414,0.00010501055162700633,6,6,False,parity_artifact,0.9964430338900441,280.63817024785993,20,3.3639683221205433e-06,,,,
target_shift_01,target_shift_candidate,31,4,1,0.2,0.9,3,12,2,False,12,11.808039316764903,0.03985101188893655,0.047309302871155395,0.3109311800899368,0.07018853842964347,0.07827304262909549,1.1151826833886258,5,0.09972450228513742,0.0014669411829645869,3,4,True,boundary_long_tail,0.9974645962883859,393.9142934909014,16,2.5644075686072288e-05,,,,
target_shift_02,target_shift_candidate,31,1,4,0.9,0.2,3,12,2,False,12,11.808039316764903,0.039851011888936624,0.04730930287115537,0.3109311800899368,0.07018853842964347,0.07827304262909549,1.1151826833886258,5,0.09972450228513743,0.0014669411829645862,3,4,True,boundary_long_tail,0.9974645962883841,393.9142934906251,16,2.5644075685650073e-05,,,,
target_shift_03,target_shift_candidate,31,28,31,0.2,0.9,3,12,2,False,12,11.808039316764903,0.03985101188893659,0.047309302871155395,0.31093118008993675,0.07018853842964347,0.07827304262909549,1.1151826833886258,27,0.09972450228513736,0.001466941182964586,29,28,True,boundary_long_tail,0.9974645962883901,393.9142934915577,16,2.5644075685814343e-05,,,,
target_shift_04,target_shift_candidate,31,31,28,0.9,0.2,3,12,2,False,12,11.808039316764908,0.03985101188893659,0.047309302871155375,0.3109311800899368,0.07018853842964347,0.0782730426290955,1.115182683388626,27,0.09972450228513736,0.0014669411829645854,29,28,True,boundary_long_tail,0.9974645962883865,393.9142934909878,16,2.56440756866339e-05,,,,
target_shift_05,target_shift_candidate,31,28,31,0.1,0.9,3,12,2,False,12,12.857035832311654,0.07439600227656841,0.04038320768401715,0.3354286225723075,0.06666996776108151,0.08411492188624027,1.2616613553448006,27,0.10546763881840009,0.0014286312790258537,28,28,False,boundary_long_tail,0.9978676541300937,468.46689453628585,26,9.071510986141656e-06,,,,
target_shift_06,target_shift_candidate,31,1,4,0.9,0.1,3,12,2,False,12,12.857035832311647,0.07439600227656841,0.040383207684017125,0.3354286225723074,0.06666996776108153,0.08411492188624026,1.2616613553448002,5,0.10546763881840016,0.0014286312790258533,4,4,False,boundary_long_tail,0.9978676541300932,468.46689453616375,6,9.07151097562436e-06,,,,
target_shift_07,target_shift_candidate,31,4,1,0.1,0.9,3,12,2,False,12,12.857035832311649,0.07439600227656834,0.0403832076840171,0.33542862257230743,0.06666996776108151,0.08411492188624027,1.2616613553448006,5,0.1054676388184001,0.0014286312790258518,4,4,False,boundary_long_tail,0.9978676541300954,468.4668945366521,6,9.071510977355041e-06,,,,
target_shift_08,target_shift_candidate,31,31,28,0.9,0.1,3,12,2,False,12,12.857035832311649,0.07439600227656841,0.04038320768401706,0.33542862257230743,0.06666996776108151,0.08411492188624027,1.2616613553448006,27,0.1054676388184001,0.0014286312790258505,28,28,False,boundary_long_tail,0.9978676541300913,468.4668945357487,6,9.071510973752819e-06,,,,
