t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
2276,2.2697049459641e-07,1.7146637605298203e-19,2.2697049459623853e-07,9.05624441272056e-31,1.7146637605209237e-19,5.610743019276543e-08,1.3389288254300605e-07,3.697018186048822e-08,1.9000031273577146e-07
2277,2.2579878463345841e-07,1.705805744400256e-19,2.2579878463328784e-07,8.80822562735012e-31,1.7058057443916067e-19,5.581777582279855e-08,1.332016958334846e-07,3.6779312977025805e-08,1.8901947165628316e-07
2278,2.2463312479161817e-07,1.696993532373762e-19,2.2463312479144847e-07,8.566999207011075e-31,1.6969935323653537e-19,5.552961713002866e-08,1.3251407790221628e-07,3.658942975922453e-08,1.8804369503224495e-07
2279,2.2347348382077986e-07,1.6882268870314713e-19,2.2347348382061104e-07,8.332379132637882e-31,1.6882268870232965e-19,5.5242946388599065e-08,1.3183001031702463e-07,3.6400527115008255e-08,1.8707295670562368e-07
2280,2.2231983063232946e-07,1.6795055721940073e-19,2.223198306321615e-07,8.104184479575069e-31,1.6795055721860602e-19,5.4957755912581974e-08,1.3114947474097723e-07,3.6212599978623105e-08,1.8610723065355921e-07
2281,2.2117213429831288e-07,1.670829352914861e-19,2.211721342981458e-07,7.882239278059176e-31,1.670829352907135e-19,5.467403805577204e-08,1.3047245293189324e-07,3.602564331050124e-08,1.8514649098766528e-07
2282,2.2003036405060523e-07,1.6621979954738035e-19,2.20030364050439e-07,7.666372377521649e-31,1.6621979954662926e-19,5.439178521148081e-08,1.2979892674185346e-07,3.5839652097125354e-08,1.8419071195333425e-07
2283,2.1889448928008418e-07,1.6536112673703373e-19,2.1889448927991882e-07,7.456417314607988e-31,1.6536112673630361e-19,5.4110989812332403e-08,1.2912887811671304e-07,3.565462135089395e-08,1.8323986792904544e-07
2284,2.1776447953580767e-07,1.645068937317187e-19,2.1776447953564316e-07,7.252212184811375e-31,1.6450689373100883e-19,5.383164433006012e-08,1.2846228909561625e-07,3.547054610998719e-08,1.8229393342567635e-07
2285,2.166403045241955e-07,1.6365707752338215e-19,2.1664030452403184e-07,7.053599517621833e-31,1.6365707752269209e-19,5.355374127530419e-08,1.2779914181051447e-07,3.5287421438233534e-08,1.8135288308581867e-07
2286,2.155219341082161e-07,1.6281165522400223e-19,2.1552193410805328e-07,6.860426155094584e-31,1.6281165522333146e-19,5.3277273197410517e-08,1.27139418485686e-07,3.510524242497703e-08,1.8041669168309653e-07
2287,2.144093383065764e-07,1.6197060406494834e-19,2.1440933830641444e-07,6.672543133744018e-31,1.6197060406429624e-19,5.300223268423051e-08,1.264831014372588e-07,3.4924004184945306e-08,1.794853341214893e-07
2288,2.133024872929167e-07,1.6113390139634436e-19,2.1330248729275558e-07,6.489805569672156e-31,1.611339013957105e-19,5.2728612361921856e-08,1.2583017307273554e-07,3.4743701858118243e-08,1.785587854346574e-07
2289,2.1220135139500927e-07,1.6030152468643667e-19,2.1220135139484897e-07,6.312072546843047e-31,1.6030152468582052e-19,5.245640489475048e-08,1.2518061589052115e-07,3.45643306095973e-08,1.7763702078527163e-07
2290,2.1110590109396123e-07,1.594734515209647e-19,2.1110590109380175e-07,6.1392070084169445e-31,1.594734515203657e-19,5.218560298489338e-08,1.245344124794526e-07,3.438588562947559e-08,1.76720015464346e-07
2291,2.100161070234216e-07,1.5864965960253541e-19,2.1001610702326295e-07,5.97107565106044e-31,1.586496596019532e-19,5.191619937224258e-08,1.2389154551833162e-07,3.4208362132708563e-08,1.758077448905742e-07
