dst,valid,reason_invalid,mass,remaining,steps,fig3_bimodal,fig3_t1,fig3_h1,fig3_t2,fig3_h2,robust_bimodal,robust_t1,robust_h1,robust_t2,robust_h2,robust_sep,robust_ratio,robust_valley,robust_valley_ratio
54,True,,0.999050793876422,0.0009492061235777782,8000,True,17,7.798936631944444e-05,19,0.00017900820131655092,True,83,0.003659810009700799,133,0.0031855165336086666,50,0.8704048912826194,4.749156547145532e-13,1.4908591737131932e-10
55,True,,0.9988286678816126,0.001171332118387419,8000,True,18,4.1537814670138884e-05,20,0.00010052433720341434,True,92,0.003235274357818515,142,0.00288674644106421,50,0.8922725314123556,3.715436871261444e-06,0.0012870672735260165
56,True,,0.9985682743527244,0.0014317256472747152,8000,True,21,5.60901783130787e-05,23,0.00010975496268566742,True,105,0.002889810773819238,155,0.00264683854073503,50,0.9159210577780875,1.5049864766323465e-10,5.685977642649899e-08
57,True,,0.9982678884185479,0.0017321115814518762,8000,True,22,3.1118039731626154e-05,24,6.346496534936222e-05,True,116,0.0025836424169635333,166,0.0023848327641134755,50,0.9230506313316716,1.3464390581039398e-05,0.0056458426702488615
58,True,,0.9979213945693145,0.0020786054306851575,8000,True,25,3.645007992968147e-05,27,6.527947300255543e-05,True,133,0.0023515950792061245,183,0.002212187648753736,50,0.9407179272974788,8.358717576707203e-09,3.7784848773639036e-06
59,True,,0.9975278096526731,0.002472190347326945,8000,True,28,3.854427563310159e-05,30,6.337848904610333e-05,True,144,0.0021113749262436383,194,0.0019884406028233374,50,0.9417752281263403,3.0771311647176856e-05,0.015475097221151809
60,True,,0.9970801860166312,0.0029198139833687357,8000,True,29,2.2606180651197702e-05,31,3.827760821343776e-05,True,165,0.0019638327245539767,215,0.0018751920443235092,50,0.9548634264404574,1.2436314549530912e-07,6.632021817273341e-05
61,True,,0.9965786029038093,0.0034213970961901844,8000,True,32,2.295713659646743e-05,34,3.6470328424011777e-05,True,174,0.0017580759410738619,224,0.0016819008471969398,50,0.9566713290949235,5.0346083024371715e-05,0.029934037495895564
62,True,,0.9960152369948546,0.003984763005145628,8000,True,35,2.2286487675974994e-05,37,3.376447462508444e-05,True,197,0.0016740410679628485,247,0.001616760143327568,50,0.9657828438432601,7.005177262879372e-07,0.0004332848809880681
63,True,,0.9953915591273401,0.004608440872659435,8000,True,38,2.0963635426647744e-05,40,3.061965849102135e-05,True,206,0.0014874646829717434,256,0.0014415959746172874,50,0.9691631613983488,6.733324123285962e-05,0.04670742872373457
64,True,,0.9946988148200593,0.005301185179940658,8000,True,41,1.927268647395432e-05,43,2.7345481083822972e-05,True,231,0.0014485243291421103,281,0.0014079208698823907,50,0.9719690871303714,2.47189524468245e-06,0.0017557060894259897
65,True,,0.993940193284753,0.0060598067152464515,8000,True,44,1.741729084203746e-05,46,2.4138918860810165e-05,True,242,0.0012767483241680623,292,0.0012497358457852375,50,0.9788427539934886,7.961112100100453e-05,0.0637023585980148
66,True,,0.9931059423313208,0.0068940576686788045,8000,True,47,1.5536340617523256e-05,49,2.111916915711815e-05,True,263,0.0012669811898421968,313,0.001239671067055859,50,0.9784447290888831,5.857616887010929e-06,0.004725138016588869
67,True,,0.9922012849408272,0.0077987150591723,8000,True,50,1.3716538957301005e-05,52,1.8344013250896798e-05,True,286,0.0011116794272729097,336,0.0010954422795921345,50,0.9853940378112357,8.578100165950456e-05,0.07830718537853347
