t,f_total,f_shortcut_no,f_shortcut_yes,survival
422,1.0539098164702128e-11,9.0449021348037e-12,1.494196029898429e-12,0.8185893855262464
423,1.0539098164565778e-11,9.044902134622683e-12,1.4941960299430954e-12,0.8185893855157073
424,1.053909816442948e-11,9.044902134441715e-12,1.4941960299877662e-12,0.8185893855051684
425,1.0539098164293238e-11,9.044902134260796e-12,1.4941960300324412e-12,0.8185893854946293
426,1.0539098164157042e-11,9.044902134079923e-12,1.4941960300771195e-12,0.8185893854840905
427,1.0539098164020892e-11,9.04490213389909e-12,1.4941960301218015e-12,0.8185893854735514
428,1.0539098163884782e-11,9.044902133718295e-12,1.4941960301664865e-12,0.8185893854630125
429,1.0539098163748706e-11,9.044902133537532e-12,1.4941960302111738e-12,0.8185893854524737
430,1.0539098163612665e-11,9.044902133356801e-12,1.4941960302558642e-12,0.8185893854419346
431,1.0539098163476657e-11,9.0449021331761e-12,1.4941960303005572e-12,0.8185893854313956
432,1.0539098163340675e-11,9.044902132995423e-12,1.494196030345252e-12,0.8185893854208568
433,1.053909816320472e-11,9.044902132814771e-12,1.4941960303899484e-12,0.8185893854103179
434,1.0539098163068786e-11,9.044902132634139e-12,1.494196030434647e-12,0.8185893853997787
435,1.0539098162932875e-11,9.044902132453528e-12,1.4941960304793471e-12,0.8185893853892399
436,1.0539098162796981e-11,9.044902132272933e-12,1.4941960305240488e-12,0.8185893853787011
437,1.053909816266111e-11,9.044902132092358e-12,1.4941960305687517e-12,0.8185893853681618
438,1.053909816252525e-11,9.044902131911796e-12,1.494196030613456e-12,0.8185893853576229
439,1.0539098162389409e-11,9.044902131731247e-12,1.4941960306581613e-12,0.818589385347084
440,1.0539098162253577e-11,9.04490213155071e-12,1.4941960307028674e-12,0.8185893853365448
441,1.0539098162117761e-11,9.044902131370186e-12,1.494196030747575e-12,0.8185893853260061
442,1.0539098161981955e-11,9.044902131189672e-12,1.494196030792283e-12,0.818589385315467
443,1.0539098161846161e-11,9.044902131009169e-12,1.4941960308369923e-12,0.8185893853049282
444,1.0539098161710374e-11,9.044902130828672e-12,1.4941960308817016e-12,0.8185893852943893
445,1.0539098161574597e-11,9.044902130648185e-12,1.4941960309264122e-12,0.8185893852838503
446,1.0539098161438828e-11,9.044902130467705e-12,1.4941960309711232e-12,0.818589385273311
447,1.0539098161303067e-11,9.044902130287232e-12,1.4941960310158345e-12,0.8185893852627721
448,1.0539098161167311e-11,9.044902130106765e-12,1.4941960310605465e-12,0.8185893852522331
449,1.0539098161031561e-11,9.044902129926302e-12,1.4941960311052591e-12,0.8185893852416942
450,1.0539098160895818e-11,9.044902129745846e-12,1.494196031149972e-12,0.8185893852311553
451,1.053909816076008e-11,9.044902129565394e-12,1.494196031194685e-12,0.8185893852206161
452,1.0539098160624344e-11,9.044902129384946e-12,1.4941960312393987e-12,0.8185893852100773
453,1.0539098160488614e-11,9.044902129204501e-12,1.4941960312841127e-12,0.8185893851995383
454,1.053909816035289e-11,9.044902129024063e-12,1.4941960313288269e-12,0.8185893851889994
455,1.0539098160217165e-11,9.044902128843623e-12,1.4941960313735417e-12,0.8185893851784605
456,1.0539098160081447e-11,9.04490212866319e-12,1.4941960314182563e-12,0.8185893851679213
457,1.0539098159945728e-11,9.044902128482757e-12,1.4941960314629711e-12,0.8185893851573824
458,1.0539098159810016e-11,9.04490212830233e-12,1.4941960315076863e-12,0.8185893851468435
459,1.0539098159674302e-11,9.044902128121901e-12,1.4941960315524013e-12,0.8185893851363044
460,1.0539098159538592e-11,9.044902127941476e-12,1.4941960315971171e-12,0.8185893851257655
461,1.0539098159402886e-11,9.044902127761053e-12,1.4941960316418328e-12,0.8185893851152266
462,1.0539098159267182e-11,9.044902127580633e-12,1.4941960316865486e-12,0.8185893851046876
463,1.0539098159131476e-11,9.044902127400212e-12,1.4941960317312644e-12,0.8185893850941486
464,1.0539098158995776e-11,9.044902127219796e-12,1.4941960317759804e-12,0.8185893850836097
465,1.0539098158860072e-11,9.044902127039375e-12,1.4941960318206966e-12,0.8185893850730707
466,1.0539098158724375e-11,9.044902126858963e-12,1.4941960318654128e-12,0.8185893850625316
467,1.0539098158588676e-11,9.044902126678547e-12,1.4941960319101293e-12,0.8185893850519926
468,1.0539098158452978e-11,9.044902126498133e-12,1.4941960319548455e-12,0.8185893850414535
469,1.0539098158317283e-11,9.04490212631772e-12,1.4941960319995621e-12,0.8185893850309146
470,1.0539098158181586e-11,9.044902126137307e-12,1.4941960320442787e-12,0.8185893850203757
471,1.0539098158045892e-11,9.044902125956896e-12,1.4941960320889954e-12,0.8185893850098369
472,1.0539098157910197e-11,9.044902125776485e-12,1.494196032133712e-12,0.8185893849992977
473,1.0539098157774505e-11,9.044902125596076e-12,1.4941960321784288e-12,0.8185893849887589
474,1.0539098157638812e-11,9.044902125415667e-12,1.4941960322231456e-12,0.8185893849782199
475,1.053909815750312e-11,9.044902125235257e-12,1.4941960322678625e-12,0.8185893849676809
