t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
236,60,0.025362318840579712,0.23768115942028986,0.7463768115942029,0.015942028985507246,0.22826086956521738,0.009420289855072464
237,61,0.023982558139534885,0.23837209302325582,0.7463662790697675,0.015261627906976744,0.22965116279069767,0.00872093023255814
238,81,0.02282453637660485,0.23751783166904422,0.7475035663338089,0.014978601997146932,0.2296718972895863,0.007845934379457917
239,74,0.021382751247327157,0.23734853884533144,0.7483962936564504,0.014255167498218105,0.23022095509622237,0.007127583749109052
240,72,0.019858156028368795,0.24184397163120566,0.7453900709219858,0.01276595744680851,0.2347517730496454,0.0070921985815602835
241,68,0.019553072625698324,0.24231843575418993,0.7451117318435754,0.012569832402234637,0.23533519553072627,0.006983240223463687
242,74,0.017265193370165747,0.2430939226519337,0.744475138121547,0.012430939226519336,0.23825966850828728,0.004834254143646409
243,81,0.015151515151515152,0.2396694214876033,0.7486225895316805,0.011707988980716254,0.2362258953168044,0.003443526170798898
244,74,0.01718213058419244,0.24261168384879725,0.7450171821305842,0.012371134020618556,0.23780068728522336,0.004810996563573883
245,63,0.01688048615800135,0.24577987846049967,0.7420661715057394,0.012153950033760972,0.24105334233625927,0.004726536124240378
246,59,0.016611295681063124,0.2431893687707641,0.7448504983388704,0.011960132890365448,0.23853820598006645,0.004651162790697674
247,58,0.017082785808147174,0.24310118265440211,0.7457293035479632,0.011169513797634692,0.2371879106438896,0.005913272010512484
248,80,0.018217306441119064,0.24398178269355889,0.7436564736499675,0.01236174365647365,0.23812621990891347,0.005855562784645413
249,68,0.016318537859007835,0.25130548302872063,0.737597911227154,0.011096605744125326,0.24608355091383813,0.005221932114882507
250,76,0.016244314489928524,0.25016244314489927,0.7394411955815464,0.010396361273554255,0.244314489928525,0.005847953216374269
251,83,0.016087516087516088,0.2471042471042471,0.741956241956242,0.010939510939510939,0.24195624195624196,0.005148005148005148
252,62,0.015335463258785943,0.24920127795527156,0.7405750798722045,0.010223642172523962,0.2440894568690096,0.005111821086261981
253,75,0.013862633900441084,0.24889729048519219,0.741650913673598,0.00945179584120983,0.24448645242596093,0.004410838059231254
254,66,0.013915243516761544,0.2549019607843137,0.7362428842504743,0.008855154965211892,0.24984187223276408,0.005060088551549652
255,81,0.013215859030837005,0.25361862806796726,0.7382001258653241,0.008181246066708621,0.2485840151038389,0.005034612964128383
256,89,0.012970969734403953,0.2445954292773317,0.7479925880172946,0.0074119827053736875,0.23903644224830142,0.005558987029030266
257,77,0.012742718446601941,0.23847087378640777,0.754247572815534,0.007281553398058253,0.23300970873786409,0.0054611650485436895
258,76,0.013813813813813814,0.23843843843843843,0.7537537537537538,0.007807807807807808,0.23243243243243245,0.006006006006006006
259,76,0.013126491646778043,0.23687350835322196,0.7565632458233891,0.0065632458233890216,0.23031026252983294,0.0065632458233890216
260,81,0.012956419316843345,0.23674911660777384,0.7567726737338045,0.006478209658421673,0.23027090694935218,0.006478209658421673
261,87,0.012805587892898719,0.22933643771827705,0.7642607683352736,0.006402793946449359,0.2229336437718277,0.006402793946449359
262,79,0.013233601841196778,0.23245109321058688,0.7612197928653625,0.006329113924050633,0.22554660529344073,0.006904487917146145
263,96,0.013737836290784202,0.23411562678878076,0.7590154550658271,0.006868918145392101,0.22724670864338867,0.006868918145392101
264,75,0.014764338444065871,0.2396365701306076,0.7535491198182851,0.0068143100511073255,0.23168654173764908,0.007950028392958546
265,82,0.012965050732807215,0.237880496054115,0.7559188275084555,0.0062006764374295375,0.23111612175873733,0.006764374295377677
266,93,0.013001695873374788,0.23233465234595818,0.7625777275296778,0.005087620124364048,0.22442057659694742,0.00791407574901074
